query,market_value,max_bid,notes
Scottie Pippen Flair Showcase,150,95,manual estimate - update after checking sold comps
Scottie Pippen Metal Universe,200,125,manual estimate - update after checking sold comps
Scottie Pippen Skybox Premium,150,95,manual estimate - update after checking sold comps
Scottie Pippen Soul of the Game,225,145,manual estimate - update after checking sold comps
Scottie Pippen Platinum Medallion,500,325,manual estimate - update after checking sold comps
Michael Jordan Flair Showcase,300,195,manual estimate - update after checking sold comps
Michael Jordan Metal Universe,400,260,manual estimate - update after checking sold comps
Michael Jordan Skybox Premium,300,195,manual estimate - update after checking sold comps
Kobe Bryant Flair Showcase,300,195,manual estimate - update after checking sold comps
Kobe Bryant Metal Universe,350,225,manual estimate - update after checking sold comps
Kobe Bryant E-X2000,350,225,manual estimate - update after checking sold comps
Jambalaya basketball,1000,700,manual estimate - varies heavily by player
Golden Touch basketball,500,325,manual estimate - varies heavily by player
Intimidation Nation basketball,400,260,manual estimate - varies heavily by player
Soul of the Game basketball,500,325,manual estimate - varies heavily by player
Molten Metal basketball,300,195,manual estimate - varies heavily by player
Z-Force Rave basketball,500,325,manual estimate - varies heavily by player
Skybox Rubies basketball,1000,700,manual estimate - varies heavily by player
Essential Credentials basketball,2000,1400,manual estimate - varies heavily by player
Platinum Medallion basketball,1000,700,manual estimate - varies heavily by player
